Овчинников Агапит
Зеленин Вениамин
Белоусов Кондрат
Волков Владлен
Воронин Поликарп
Островский Афанасий
Гуляев Пахомий
Касаткин Филат
Ермолов Евгений
Собянин Афанасий
Павлов Никифор
Головин Урбан
Корнев Егор
Стрельников Михаил
Панфилов Анатолий
Касаткин Иван
Островский Логгин
Стрелков Авксентий
Дьяков Игнатий
Козин Федот
Гуров Ким
Бородин Ириней
Пантелеев Всеволод
Трифонов Мина
Воробьёв Панкратий
Черкасов Вадим
Лаврентьев Паисий
Суханов Евсей
Сурков Вячеслав
Сёмин Сила
Ельцин Павел
Чеботарёв Мелентий
Макеев Влас
Князев Сильвестр
Панков Лука
Леонов Тарас
Егоров Мирослав
Алёшин Тимур
Александров Святослав
Пантелеев Тимур
Гакабов Ираклий
Кулешов Серафим
Аксёнов Гавриил
Тихонов Демьян
Сурганов Евсей
Гончаров Ефим
Ситников Серафим
Меньшов Пров
Ткачёв Роман
Ларин Фирс
Кузьмин Сила
Черной Алексей
Любимов Пантелеймон
Константинов Василий
Карасёв Корнилий
Толкачёв Кир
Рыбаков Мирослав
Сёмин Фирс
Белоусов Всеволод
Горячев Станислав
Кочетков Максим
Толкачёв Герман
Гладков Акакий
Гончаров Спиридон
Щукин Тимур
Филиппов Максим
Заец Пров
Соловьёв Софрон
Макаров Кирилл
Казаков Артемий
Логинов Альвиан
Нечаев Кир
Алёхин Ждан
Гришин Кир
Игнатьев Константин
Комиссаров Прохор
Быков Тихон
Кислов Варфоломей
Кулешов Трофим
Шестаков Лука
Сальников Никифор
Пирогов Антон
Парамонов Трифон
Калачёв Кузьма
Князев Лукий
Чеботарёв Мамонт
Глушков Ким
Голованов Арсений
Островский Федот
Черкасов Мамонт
Никитин Вадим
Фокин Евгений
Зюганов Святослав
Маслов Богдан
Тихонов Лев
Федотов Онисим
Петровский Лаврентий
Рыбкин Ким
Кольцов Геннадий
Ивашов Пётр
Мальцев Николай
Горбачёв Паисий
Фёдоров Никодим
Горбунов Олег
Ерохин Мартын
Кондратьев Серафим
Коваленко Станислав
Москвин Сила
Рыжков Макар
Акимов Спиридон
Окулов Магистриан
Коваленко Михаил
Мешков Сила
Кочетков Донат
Скворцов Антонин
Литвинов Добрыня
Крылов Агапит
Сахаров Станислав
Никольский Никон
Гущин Филипп
Копылов Александр
Моргунов Изот
Кузьмин Дорофей
Стрельников Антонин
Кольцов Матвей
Баранов Евдоким
Суслов Иулиан
Калугин Ираклий
Горлов Авдей
Фомичёв Мамонт
Золотарев Герман
Березин Всеволод
Казанцев Никон
Назаров Вениамин
Сергеев Паисий
Золотарев Изот
Козловский Нестор
Лавров Максим
Ларионов Онисим
Седов Дорофей
Алексеев Фаддей
Озеров Артемий
Климов Василий
Филиппов Зиновий
Колесников Авдей
Ефимов Геласий
Устинов Лев
Малофеев Фока
Макаров Мартын
Панков Мартын
Моргунов Исаак
Родин Валерий
Русанов Никифор
Астахов Аркадий
Лукин Порфирий
Рожков Митрофан
Золотов Митрофан
Медведев Акиндин
Ефремов Анатолий
Чеботарёв Лев
Устинов Евгений
Дегтярев Варфоломей
Тихомиров Денис
Макаров Геннадий
Кононов Андрей
Шевцов Владислав
Юдин Еремей
Никонов Порфирий
Акимов Мина
Панов Онуфрий
Лужков Лукий
Калмыков Глеб
Игнатов Владимир
Смирнов Потап
Торшин Павел
Кошелев Кузьма
Золотов Лукьян
Назаров Прохор
Пономарёв Пахомий
Титов Николай
Медейко Аристарх
Жаров Данакт
Троцкий Мина
Дегтярев Фирс
Грибов Агафон
Щеглов Владлен
Селезнёв Павел
Ивашов Фёдор
Кузин Ираклий
Дубровин Севастьян
Меньшов Филат
Фомичёв Гордей
Ершов Марк
Глебов Порфирий
Прошин Пафнутий
Дроздов Агапит
Фомичев Савелий
Коновалов Ерофей
Губанов Ефим
Прохоров Никифор
Худяков Евграф
Зимин Урбан
Грибков Аникита
Никифоров Магистриан
Пирогов Филат
Золотарев Савелий
Михеев Всеволод
Буров Евграф
Уваров Лукьян
Безруков Тимофей
Лаврентьев Викентий
Петухов Тит
Медведев Савелий
Еромлаев Руслан
Гусев Руслан
Рыжков Никифор
Молчанов Аристарх
Кузьмин Аркадий
Зюганов Арсений
Рублёв Игорь
Зорин Магистриан
Глебов Серафим
Дружинин Валентин
Шевцов Фома
Фирсов Прокопий
Моисеев Алексей
Калинин Савва
Щеглов Всеволод
Александров Конон
Малышев Глеб
Савельев Анатолий
Второв Валентин
Фадеев Алексей
Сальников Венедикт
Шишкин Лукий
Терехов Никифор
Зюганов Фирс
Игнатов Дмитрий
Дорофеев Никодим
Булатов Виталий
Астафьев Прокопий
Васильев Антонин
Блинов Ждан
Зубков Александр
Лопатин Исидор
Маркин Матвей
Золотов Никандр
Беляков Мелентий
Блохин Поликарп
Царёв Дорофей
Цветков Даниил
Шмелёв Назар
Афанасьев Иакинф
Быков Борис
Ананьев Севастьян
Дубинин Ерофей
Казаков Гавриил
Маркин Пётр
Рубцов Пётр
Фёдоров Святослав
Кулагин Кузьма
Ульянов Роман
Князев Виктор
Блинов Мирослав
Губанов Олег
Косарев Викентий
Белоусов Паисий
Леонтьев Пафнутий
Николаев Анфим
Швецов Иннокентий
Рыбаков Михаил
Малахов Родион
Зимин Матвей
Павловский Макар
Панкратов Виталий
Хохлов Никон
Безруков Ростислав
Муратов Леонтий
Дубов Николай
Быков Пафнутий
Фёдоров Матвей
Митрофанов Спиридон
Никулин Федот
Богданов Илья
Токарев Иакинф
Бычков Матвей
Березин Назар
Лапшин Руслан
Кириллов Лукий
Черепанов Прокопий
Белов Мартын
Никитин Кузьма
Порошин Ермолай
Колпаков Мстислав
Селиванов Феликс
Дьяков Куприян
Зиновьев Хрисанф
Муравьёв Андрей
Рубцов Тихон
Бондарев Лаврентий
Зиновьев Герасим
Мясников Мартын
Соболев Роман
Пономарёв Игорь
Колпаков Игнатий
Филиппов Евдоким
Литвинов Мелентий
Карасев Архипп
Вавилов Спиридон
Носов Тихон
Панин Емельян
Фёдоров Иван
Молчанов Ираклий
Меркулов Богдан
Самсонов Прокопий
Алексеев Филимон
Королёв Андрей
Круглов Тимофей
Гноев Ерофей
Александров Иуда
Москвин Пров
Лосев Филат
Сурков Анатолий
Мартынов Феоктист
Волков Арсений
Чумаков Виктор
Губанов Филат
Рябинин Ефрем
Ильюхин Венедикт
